编号	城市	AQI指数	首要污染物	日期	空气质量级别
352	武汉市	198	细颗粒物(PM2.5)	2019-01-26	中度污染
353	武汉市	175	细颗粒物(PM2.5)	2019-01-25	中度污染
354	武汉市	109	细颗粒物(PM2.5)	2019-01-24	轻度污染
355	武汉市	108	细颗粒物(PM2.5)	2019-01-23	轻度污染
356	武汉市	144	细颗粒物(PM2.5)	2019-01-22	轻度污染
357	武汉市	195	细颗粒物(PM2.5)	2019-01-21	中度污染
358	武汉市	186	细颗粒物(PM2.5)	2019-01-20	中度污染
359	武汉市	125	细颗粒物(PM2.5)	2019-01-19	轻度污染
360	武汉市	133	细颗粒物(PM2.5)	2019-01-18	轻度污染
361	武汉市	130	细颗粒物(PM2.5)	2019-01-17	轻度污染
362	武汉市	76	颗粒物(PM10)	2019-01-16	良
363	武汉市	143	细颗粒物(PM2.5)	2019-01-15	轻度污染
364	武汉市	109	细颗粒物(PM2.5)	2019-01-14	轻度污染
365	武汉市	143	细颗粒物(PM2.5)	2019-01-13	轻度污染
366	武汉市	139	细颗粒物(PM2.5)	2019-01-12	轻度污染
367	武汉市	92	细颗粒物(PM2.5)	2019-01-11	良
368	武汉市	49	—	2019-01-10	优
369	武汉市	54	二氧化氮	2019-01-09	良
370	武汉市	117	细颗粒物(PM2.5)	2019-01-08	轻度污染
371	武汉市	153	细颗粒物(PM2.5)	2019-01-07	中度污染
372	武汉市	213	细颗粒物(PM2.5)	2019-01-06	重度污染
373	武汉市	214	细颗粒物(PM2.5)	2019-01-05	重度污染
374	武汉市	122	细颗粒物(PM2.5)	2019-01-04	轻度污染
375	武汉市	95	细颗粒物(PM2.5)	2019-01-03	良
376	武汉市	80	细颗粒物(PM2.5)	2019-01-02	良
377	武汉市	63	细颗粒物(PM2.5)	2019-01-01	良
